Model size: 757K
Acc@10: 0.9250, Acc@20: 0.9860, Param Norm: 82.27, Grad Norm: 1.52
Acc@10: 0.9230, Acc@20: 0.9950, Param Norm: 82.30, Grad Norm: 1.46
Acc@10: 0.9300, Acc@20: 0.9950, Param Norm: 82.31, Grad Norm: 1.51
Acc@10: 0.9030, Acc@20: 0.9920, Param Norm: 82.34, Grad Norm: 1.58
Acc@10: 0.9140, Acc@20: 0.9900, Param Norm: 82.34, Grad Norm: 2.61
Acc@10: 0.9300, Acc@20: 0.9940, Param Norm: 82.37, Grad Norm: 1.29
Acc@10: 0.9180, Acc@20: 0.9900, Param Norm: 82.38, Grad Norm: 2.63
Acc@10: 0.9080, Acc@20: 0.9940, Param Norm: 82.41, Grad Norm: 1.93
Acc@10: 0.9150, Acc@20: 0.9930, Param Norm: 82.42, Grad Norm: 2.44
Acc@10: 0.9090, Acc@20: 0.9920, Param Norm: 82.44, Grad Norm: 1.21
Model Saved!
Acc@10: 0.9100, Acc@20: 0.9890, Param Norm: 82.45, Grad Norm: 2.23
Acc@10: 0.9160, Acc@20: 0.9910, Param Norm: 82.47, Grad Norm: 1.28
Acc@10: 0.9240, Acc@20: 0.9960, Param Norm: 82.48, Grad Norm: 1.73
Acc@10: 0.9320, Acc@20: 0.9970, Param Norm: 82.50, Grad Norm: 1.73
Acc@10: 0.9260, Acc@20: 0.9890, Param Norm: 82.51, Grad Norm: 1.62
Acc@10: 0.9150, Acc@20: 0.9920, Param Norm: 82.53, Grad Norm: 1.95
Acc@10: 0.9240, Acc@20: 0.9920, Param Norm: 82.55, Grad Norm: 1.23
Acc@10: 0.9220, Acc@20: 0.9950, Param Norm: 82.56, Grad Norm: 1.96
Acc@10: 0.9250, Acc@20: 0.9930, Param Norm: 82.57, Grad Norm: 2.06
Acc@10: 0.9240, Acc@20: 0.9930, Param Norm: 82.59, Grad Norm: 1.69
Acc@10: 0.9260, Acc@20: 0.9870, Param Norm: 82.60, Grad Norm: 1.48
Acc@10: 0.9050, Acc@20: 0.9910, Param Norm: 82.63, Grad Norm: 2.53
Acc@10: 0.9160, Acc@20: 0.9960, Param Norm: 82.65, Grad Norm: 1.77
Acc@10: 0.9270, Acc@20: 0.9920, Param Norm: 82.66, Grad Norm: 1.89
Acc@10: 0.9060, Acc@20: 0.9920, Param Norm: 82.66, Grad Norm: 1.25
Acc@10: 0.9090, Acc@20: 0.9870, Param Norm: 82.68, Grad Norm: 1.68
Acc@10: 0.9220, Acc@20: 0.9950, Param Norm: 82.69, Grad Norm: 1.69
Acc@10: 0.9130, Acc@20: 0.9890, Param Norm: 82.71, Grad Norm: 1.24
Acc@10: 0.9220, Acc@20: 0.9910, Param Norm: 82.71, Grad Norm: 1.79
Acc@10: 0.9280, Acc@20: 0.9970, Param Norm: 82.72, Grad Norm: 1.91
Model Saved!
Acc@10: 0.9120, Acc@20: 0.9900, Param Norm: 82.74, Grad Norm: 0.94
Acc@10: 0.9070, Acc@20: 0.9910, Param Norm: 82.76, Grad Norm: 1.51
Acc@10: 0.9120, Acc@20: 0.9910, Param Norm: 82.76, Grad Norm: 0.87
Acc@10: 0.9110, Acc@20: 0.9930, Param Norm: 82.77, Grad Norm: 1.46
Acc@10: 0.9190, Acc@20: 0.9920, Param Norm: 82.78, Grad Norm: 1.15
Acc@10: 0.9290, Acc@20: 0.9920, Param Norm: 82.79, Grad Norm: 0.94
Acc@10: 0.9350, Acc@20: 0.9900, Param Norm: 82.80, Grad Norm: 1.10
Acc@10: 0.9130, Acc@20: 0.9940, Param Norm: 82.82, Grad Norm: 0.51
Acc@10: 0.9330, Acc@20: 0.9930, Param Norm: 82.82, Grad Norm: 1.09
Acc@10: 0.9290, Acc@20: 0.9930, Param Norm: 82.82, Grad Norm: 1.35
Acc@10: 0.9230, Acc@20: 0.9950, Param Norm: 82.84, Grad Norm: 1.18
Acc@10: 0.9000, Acc@20: 0.9870, Param Norm: 82.83, Grad Norm: 0.93
Acc@10: 0.9200, Acc@20: 0.9920, Param Norm: 82.84, Grad Norm: 0.88
Acc@10: 0.9310, Acc@20: 0.9950, Param Norm: 82.85, Grad Norm: 1.22
